source,filename,gender,race,type,age,leaf
E:\aninovel\input_images\female_anime_20_Miyamoto_Yuka_宮本優花.png,female_anime_20_Miyamoto_Yuka_宮本優花.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_20_Shiina_Mizuki_椎名美月.png,female_anime_20_Shiina_Mizuki_椎名美月.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_21_Minase_Kotone_水無瀬琴音.png,female_anime_21_Minase_Kotone_水無瀬琴音.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_21_Takahashi_Misaki_高橋美咲.png,female_anime_21_Takahashi_Misaki_高橋美咲.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_22_Fujiwara_Ayaka_藤原彩花.png,female_anime_22_Fujiwara_Ayaka_藤原彩花.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_22_Inoue_Yua_井上結愛.png,female_anime_22_Inoue_Yua_井上結愛.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_23_Aizawa_Mashiro_相沢茉白.png,female_anime_23_Aizawa_Mashiro_相沢茉白.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_23_Matsumoto_Yuki_松本祐希.png,female_anime_23_Matsumoto_Yuki_松本祐希.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_24_Asai_Mai_浅井麻衣.png,female_anime_24_Asai_Mai_浅井麻衣.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_24_Oba_Natsuki_大場夏希.png,female_anime_24_Oba_Natsuki_大場夏希.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_25_Asakura_Miu_朝倉美羽.png,female_anime_25_Asakura_Miu_朝倉美羽.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_25_Yamamoto_Ayaka_山本彩夏.png,female_anime_25_Yamamoto_Ayaka_山本彩夏.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_26_Fujiwara_Yuri_藤原優里.png,female_anime_26_Fujiwara_Yuri_藤原優里.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_26_Tojo_Karen_東條華蓮.png,female_anime_26_Tojo_Karen_東條華蓮.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_27_Aizawa_Moe_相沢萌.png,female_anime_27_Aizawa_Moe_相沢萌.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_27_Ichikawa_Yuna_市川結菜.png,female_anime_27_Ichikawa_Yuna_市川結菜.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_28_Otsuka_Minami_大塚みなみ.png,female_anime_28_Otsuka_Minami_大塚みなみ.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_28_Sakamoto_Shiori_坂本詩織.png,female_anime_28_Sakamoto_Shiori_坂本詩織.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_29_Nakamura_Mayu_中村真由.png,female_anime_29_Nakamura_Mayu_中村真由.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_29_Nanri_Mana_南里真奈.png,female_anime_29_Nanri_Mana_南里真奈.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_30_Miyamoto_Airi_宮本愛莉.png,female_anime_30_Miyamoto_Airi_宮本愛莉.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_30_Ogawa_Sakura_小川桜.png,female_anime_30_Ogawa_Sakura_小川桜.png,Female,Japanese,Anime,YoungAdult,Female\Japanese_Anime\YoungAdult
E:\aninovel\input_images\female_anime_02_elementary_01_r1c1.png,female_anime_02_elementary_01_r1c1.png,Female,Japanese,Anime,Child,Female\Japanese_Anime\Child
E:\aninovel\input_images\female_anime_02_elementary_02_r1c2.png,female_anime_02_elementary_02_r1c2.png,Female,Japanese,Anime,Child,Female\Japanese_Anime\Child
E:\aninovel\input_images\female_anime_02_elementary_03_r2c1.png,female_anime_02_elementary_03_r2c1.png,Female,Japanese,Anime,Child,Female\Japanese_Anime\Child
E:\aninovel\input_images\female_anime_02_elementary_04_r2c2.png,female_anime_02_elementary_04_r2c2.png,Female,Japanese,Anime,Child,Female\Japanese_Anime\Child
E:\aninovel\input_images\female_anime_02_elementary_05_r3c1.png,female_anime_02_elementary_05_r3c1.png,Female,Japanese,Anime,Child,Female\Japanese_Anime\Child
E:\aninovel\input_images\female_anime_02_elementary_06_r3c2.png,female_anime_02_elementary_06_r3c2.png,Female,Japanese,Anime,Child,Female\Japanese_Anime\Child
E:\aninovel\input_images\female_anime_02_elementary_07_r4c1.png,female_anime_02_elementary_07_r4c1.png,Female,Japanese,Anime,Child,Female\Japanese_Anime\Child
E:\aninovel\input_images\female_anime_02_elementary_08_r4c2.png,female_anime_02_elementary_08_r4c2.png,Female,Japanese,Anime,Child,Female\Japanese_Anime\Child
E:\aninovel\input_images\female_anime_02_elementary_09_r5c1.png,female_anime_02_elementary_09_r5c1.png,Female,Japanese,Anime,Child,Female\Japanese_Anime\Child
E:\aninovel\input_images\female_anime_02_elementary_10_r5c2.png,female_anime_02_elementary_10_r5c2.png,Female,Japanese,Anime,Child,Female\Japanese_Anime\Child
E:\aninovel\input_images\female_anime_02_elementary_11_r6c1.png,female_anime_02_elementary_11_r6c1.png,Female,Japanese,Anime,Child,Female\Japanese_Anime\Child
E:\aninovel\input_images\female_anime_02_elementary_12_r6c2.png,female_anime_02_elementary_12_r6c2.png,Female,Japanese,Anime,Child,Female\Japanese_Anime\Child
E:\aninovel\input_images\female_anime_02_elementary_13_r7c1.png,female_anime_02_elementary_13_r7c1.png,Female,Japanese,Anime,Child,Female\Japanese_Anime\Child
E:\aninovel\input_images\female_anime_02_elementary_14_r7c2.png,female_anime_02_elementary_14_r7c2.png,Female,Japanese,Anime,Child,Female\Japanese_Anime\Child
E:\aninovel\input_images\female_anime_03_middle_school_01_r1c1.png,female_anime_03_middle_school_01_r1c1.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_03_middle_school_02_r1c2.png,female_anime_03_middle_school_02_r1c2.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_03_middle_school_03_r2c1.png,female_anime_03_middle_school_03_r2c1.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_03_middle_school_04_r2c2.png,female_anime_03_middle_school_04_r2c2.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_03_middle_school_05_r3c1.png,female_anime_03_middle_school_05_r3c1.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_03_middle_school_06_r3c2.png,female_anime_03_middle_school_06_r3c2.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_03_middle_school_07_r4c1.png,female_anime_03_middle_school_07_r4c1.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_03_middle_school_08_r4c2.png,female_anime_03_middle_school_08_r4c2.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_03_middle_school_09_r5c1.png,female_anime_03_middle_school_09_r5c1.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_03_middle_school_10_r5c2.png,female_anime_03_middle_school_10_r5c2.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_03_middle_school_11_r6c1.png,female_anime_03_middle_school_11_r6c1.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_03_middle_school_12_r6c2.png,female_anime_03_middle_school_12_r6c2.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_03_middle_school_13_r7c1.png,female_anime_03_middle_school_13_r7c1.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_03_middle_school_14_r7c2.png,female_anime_03_middle_school_14_r7c2.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_04_high_school_01_r1c1.png,female_anime_04_high_school_01_r1c1.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_04_high_school_02_r1c2.png,female_anime_04_high_school_02_r1c2.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_04_high_school_03_r2c1.png,female_anime_04_high_school_03_r2c1.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_04_high_school_04_r2c2.png,female_anime_04_high_school_04_r2c2.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_04_high_school_05_r3c1.png,female_anime_04_high_school_05_r3c1.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_04_high_school_06_r3c2.png,female_anime_04_high_school_06_r3c2.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_04_high_school_07_r4c1.png,female_anime_04_high_school_07_r4c1.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_04_high_school_08_r4c2.png,female_anime_04_high_school_08_r4c2.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_04_high_school_09_r5c1.png,female_anime_04_high_school_09_r5c1.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_04_high_school_10_r5c2.png,female_anime_04_high_school_10_r5c2.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_04_high_school_11_r6c1.png,female_anime_04_high_school_11_r6c1.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_04_high_school_12_r6c2.png,female_anime_04_high_school_12_r6c2.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_04_high_school_13_r7c1.png,female_anime_04_high_school_13_r7c1.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_04_high_school_14_r7c2.png,female_anime_04_high_school_14_r7c2.png,Female,Japanese,Anime,Teen,Female\Japanese_Anime\Teen
E:\aninovel\input_images\female_anime_06_working_age_01_r1c1.png,female_anime_06_working_age_01_r1c1.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_02_r1c2.png,female_anime_06_working_age_02_r1c2.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_03_r1c3.png,female_anime_06_working_age_03_r1c3.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_04_r1c4.png,female_anime_06_working_age_04_r1c4.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_05_r1c5.png,female_anime_06_working_age_05_r1c5.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_06_r1c6.png,female_anime_06_working_age_06_r1c6.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_07_r1c7.png,female_anime_06_working_age_07_r1c7.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_08_r1c8.png,female_anime_06_working_age_08_r1c8.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_09_r1c9.png,female_anime_06_working_age_09_r1c9.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_10_r2c1.png,female_anime_06_working_age_10_r2c1.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_11_r2c2.png,female_anime_06_working_age_11_r2c2.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_12_r2c3.png,female_anime_06_working_age_12_r2c3.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_13_r2c4.png,female_anime_06_working_age_13_r2c4.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_14_r2c5.png,female_anime_06_working_age_14_r2c5.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_15_r2c6.png,female_anime_06_working_age_15_r2c6.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_16_r2c7.png,female_anime_06_working_age_16_r2c7.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_17_r2c8.png,female_anime_06_working_age_17_r2c8.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_18_r2c9.png,female_anime_06_working_age_18_r2c9.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_19_r3c1.png,female_anime_06_working_age_19_r3c1.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_20_r3c2.png,female_anime_06_working_age_20_r3c2.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
E:\aninovel\input_images\female_anime_06_working_age_21_r3c3.png,female_anime_06_working_age_21_r3c3.png,Female,Japanese,Anime,Adult,Female\Japanese_Anime\Adult
